"content","created_at","date","likeCount","media","outlinks","quoteCount","quotedTweet","replyCount","retweetCount","retweetedTweet","url","id","conversationId"
"@iAmKameel @joaomatthews both Ronaldo and Ronaldinho were struggling with weight.","Tue Jun 04 00:11:03 0000 2013","2013-06-04 00:11:0300:00","1","","","0","","1","0","","https://twitter.com/Trevornoah/status/341708643097526272","341708643097526272","341707250093662209"
"@joaomatthews lol by writing allegedly the joke wasnt as strong and neither are your balls. #justsayit","Tue Jun 04 00:07:05 0000 2013","2013-06-04 00:07:0500:00","0","","","0","","0","0","","https://twitter.com/Trevornoah/status/341707645180334080","341707645180334080","341707645180334080"
"Or hell party too hard in Europe and get fat ala Ronaldinho RT @joaomatthews: Neymar is 21. Hes only going to get better.","Tue Jun 04 00:05:31 0000 2013","2013-06-04 00:05:3100:00","2","","","0","","8","12","","https://twitter.com/Trevornoah/status/341707250093662209","341707250093662209","341707250093662209"
"@joaomatthews Liverpool wants him","Mon Jun 03 22:54:38 0000 2013","2013-06-03 22:54:3800:00","0","","","0","","2","0","","https://twitter.com/Trevornoah/status/341689412784095232","341689412784095232","341688509393956865"
"@salmau5 lol no really I laughed at the picture. #NoSarco","Mon Jun 03 21:09:47 0000 2013","2013-06-03 21:09:4700:00","1","","","0","","1","0","","https://twitter.com/Trevornoah/status/341663024270163969","341663024270163969","341631938806816769"
"@TeamTrevorSA hope youll protect me when I need it.","Mon Jun 03 21:06:54 0000 2013","2013-06-03 21:06:5400:00","1","","","0","","1","1","","https://twitter.com/Trevornoah/status/341662300115202048","341662300115202048","341520658133553152"
"@salmau5 thats funny.","Mon Jun 03 20:58:01 0000 2013","2013-06-03 20:58:0100:00","1","","","0","","1","0","","https://twitter.com/Trevornoah/status/341660065419378689","341660065419378689","341631938806816769"
"@iamtbotouch thanks for being able to take a joke my dude. #Touchdown","Mon Jun 03 10:07:27 0000 2013","2013-06-03 10:07:2700:00","1","","","0","","3","3","","https://twitter.com/Trevornoah/status/341496343560327168","341496343560327168","341496343560327168"
"I just found a place in New York where you can buy an American accent. Thanks for the hookup @iamtbotouch.","Mon Jun 03 09:29:17 0000 2013","2013-06-03 09:29:1700:00","44","","","0","","76","176","","https://twitter.com/Trevornoah/status/341486739862454272","341486739862454272","341486739862454272"
"They use the other half to plan revenge on Heidi Klum. RT @UberFacts: Seals sleep with only half their brain at a time.","Mon Jun 03 09:27:11 0000 2013","2013-06-03 09:27:1100:00","41","","","0","","28","180","","https://twitter.com/Trevornoah/status/341486210801356800","341486210801356800","341486210801356800"
"Thank you Michael Douglas for the perfect excuse.","Mon Jun 03 08:30:15 0000 2013","2013-06-03 08:30:1500:00","25","","","0","","17","75","","https://twitter.com/Trevornoah/status/341471880898805760","341471880898805760","341471880898805760"
